target_table,row_id,audio_url,audio_key,audio_source_cell,source_file
senses,2662,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C146.mp3,Linfala/senses/A/A.C146.mp3,A.C146,A.C146.mp3
senses,2663,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C147.mp3,Linfala/senses/A/A.C147.mp3,A.C147,A.C147.mp3
senses,2664,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C148.mp3,Linfala/senses/A/A.C148.mp3,A.C148,A.C148.mp3
senses,2665,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C149.mp3,Linfala/senses/A/A.C149.mp3,A.C149,A.C149.mp3
senses,2505,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C15.mp3,Linfala/senses/A/A.C15.mp3,A.C15,A.C15.mp3
senses,2667,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C150.mp3,Linfala/senses/A/A.C150.mp3,A.C150,A.C150.mp3
senses,2669,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C152.mp3,Linfala/senses/A/A.C152.mp3,A.C152,A.C152.mp3
senses,2670,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C153.mp3,Linfala/senses/A/A.C153.mp3,A.C153,A.C153.mp3
senses,2671,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C154.mp3,Linfala/senses/A/A.C154.mp3,A.C154,A.C154.mp3
senses,2672,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C155.mp3,Linfala/senses/A/A.C155.mp3,A.C155,A.C155.mp3
senses,2673,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C156.mp3,Linfala/senses/A/A.C156.mp3,A.C156,A.C156.mp3
senses,2674,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C157.mp3,Linfala/senses/A/A.C157.mp3,A.C157,A.C157.mp3
senses,2676,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C158.mp3,Linfala/senses/A/A.C158.mp3,A.C158,A.C158.mp3
senses,2677,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C159.mp3,Linfala/senses/A/A.C159.mp3,A.C159,A.C159.mp3
senses,2506,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C16.mp3,Linfala/senses/A/A.C16.mp3,A.C16,A.C16.mp3
senses,2678,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C160.mp3,Linfala/senses/A/A.C160.mp3,A.C160,A.C160.mp3
senses,2679,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C161.mp3,Linfala/senses/A/A.C161.mp3,A.C161,A.C161.mp3
senses,2680,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C162.mp3,Linfala/senses/A/A.C162.mp3,A.C162,A.C162.mp3
senses,2681,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C163.mp3,Linfala/senses/A/A.C163.mp3,A.C163,A.C163.mp3
senses,2682,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C164.mp3,Linfala/senses/A/A.C164.mp3,A.C164,A.C164.mp3
senses,2684,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C165.mp3,Linfala/senses/A/A.C165.mp3,A.C165,A.C165.mp3
senses,2685,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C166.mp3,Linfala/senses/A/A.C166.mp3,A.C166,A.C166.mp3
senses,2686,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C167.mp3,Linfala/senses/A/A.C167.mp3,A.C167,A.C167.mp3
senses,2507,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C17.mp3,Linfala/senses/A/A.C17.mp3,A.C17,A.C17.mp3
senses,2508,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C18.mp3,Linfala/senses/A/A.C18.mp3,A.C18,A.C18.mp3
senses,2509,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C19.mp3,Linfala/senses/A/A.C19.mp3,A.C19,A.C19.mp3
senses,2510,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C20.mp3,Linfala/senses/A/A.C20.mp3,A.C20,A.C20.mp3
senses,2513,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C22.mp3,Linfala/senses/A/A.C22.mp3,A.C22,A.C22.mp3
senses,2514,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C23.mp3,Linfala/senses/A/A.C23.mp3,A.C23,A.C23.mp3
senses,2515,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C24.mp3,Linfala/senses/A/A.C24.mp3,A.C24,A.C24.mp3
senses,2517,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C25.mp3,Linfala/senses/A/A.C25.mp3,A.C25,A.C25.mp3
senses,2518,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C26.mp3,Linfala/senses/A/A.C26.mp3,A.C26,A.C26.mp3
senses,2520,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C28.mp3,Linfala/senses/A/A.C28.mp3,A.C28,A.C28.mp3
senses,2521,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C29.mp3,Linfala/senses/A/A.C29.mp3,A.C29,A.C29.mp3
senses,2490,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C3.mp3,Linfala/senses/A/A.C3.mp3,A.C3,A.C3.mp3
senses,2522,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C30.mp3,Linfala/senses/A/A.C30.mp3,A.C30,A.C30.mp3
senses,2523,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C31.mp3,Linfala/senses/A/A.C31.mp3,A.C31,A.C31.mp3
senses,2524,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C32.mp3,Linfala/senses/A/A.C32.mp3,A.C32,A.C32.mp3
senses,2525,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C33.mp3,Linfala/senses/A/A.C33.mp3,A.C33,A.C33.mp3
senses,2526,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C34.mp3,Linfala/senses/A/A.C34.mp3,A.C34,A.C34.mp3
senses,2527,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C35.mp3,Linfala/senses/A/A.C35.mp3,A.C35,A.C35.mp3
senses,2529,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C36.mp3,Linfala/senses/A/A.C36.mp3,A.C36,A.C36.mp3
senses,2530,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C37.mp3,Linfala/senses/A/A.C37.mp3,A.C37,A.C37.mp3
senses,2531,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C38.mp3,Linfala/senses/A/A.C38.mp3,A.C38,A.C38.mp3
senses,2532,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C39.mp3,Linfala/senses/A/A.C39.mp3,A.C39,A.C39.mp3
senses,2533,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C40.mp3,Linfala/senses/A/A.C40.mp3,A.C40,A.C40.mp3
senses,2535,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C41.mp3,Linfala/senses/A/A.C41.mp3,A.C41,A.C41.mp3
senses,2536,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C42.mp3,Linfala/senses/A/A.C42.mp3,A.C42,A.C42.mp3
senses,2538,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C43.mp3,Linfala/senses/A/A.C43.mp3,A.C43,A.C43.mp3
senses,2539,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C44.mp3,Linfala/senses/A/A.C44.mp3,A.C44,A.C44.mp3
senses,2540,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C45.mp3,Linfala/senses/A/A.C45.mp3,A.C45,A.C45.mp3
senses,2541,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C46.mp3,Linfala/senses/A/A.C46.mp3,A.C46,A.C46.mp3
senses,2542,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C47.mp3,Linfala/senses/A/A.C47.mp3,A.C47,A.C47.mp3
senses,2543,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C48.mp3,Linfala/senses/A/A.C48.mp3,A.C48,A.C48.mp3
senses,2544,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C49.mp3,Linfala/senses/A/A.C49.mp3,A.C49,A.C49.mp3
senses,2492,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C5.mp3,Linfala/senses/A/A.C5.mp3,A.C5,A.C5.mp3
senses,2545,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C50.mp3,Linfala/senses/A/A.C50.mp3,A.C50,A.C50.mp3
senses,2546,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C51.mp3,Linfala/senses/A/A.C51.mp3,A.C51,A.C51.mp3
senses,2547,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C52.mp3,Linfala/senses/A/A.C52.mp3,A.C52,A.C52.mp3
senses,2548,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C53.mp3,Linfala/senses/A/A.C53.mp3,A.C53,A.C53.mp3
senses,2549,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C54.mp3,Linfala/senses/A/A.C54.mp3,A.C54,A.C54.mp3
senses,2550,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C55.mp3,Linfala/senses/A/A.C55.mp3,A.C55,A.C55.mp3
senses,2552,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C56.mp3,Linfala/senses/A/A.C56.mp3,A.C56,A.C56.mp3
senses,2553,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C57.mp3,Linfala/senses/A/A.C57.mp3,A.C57,A.C57.mp3
